coin_id,name,current_price,market_cap
bitcoin,Bitcoin,70500,1412317535415
ethereum,Ethereum,2058.13,248816339135
tether,Tether,0.999979,183923077422
binancecoin,BNB,645.6,88030597606
ripple,XRP,1.39,85207477535
usd-coin,USDC,0.999906,78195263514
solana,Solana,86.7,49495051181
tron,TRON,0.28417,26920627076
figure-heloc,Figure Heloc,1.042,16302598332
dogecoin,Dogecoin,0.09455,14489470732
whitebit,WhiteBIT Coin,55.98,11963576734
usds,USDS,0.999976,11123199286
cardano,Cardano,0.264138,9741219047
bitcoin-cash,Bitcoin Cash,446.52,8940106025
leo-token,LEO Token,9.16,8435844744
hyperliquid,Hyperliquid,34.89,8323918121
chainlink,Chainlink,9.07,6425844165
monero,Monero,345.49,6379674534
ethena-usde,Ethena USDe,0.999318,5921188682
canton-network,Canton,0.148693,5661039877
stellar,Stellar,0.160582,5302651982
usd1-wlfi,USD1,0.999409,4607244342
dai,Dai,1.0,4262885400
rain,Rain,0.00885538,4237197848
hedera-hashgraph,Hedera,0.096351,4177440189
litecoin,Litecoin,54.08,4164977186
avalanche-2,Avalanche,9.47,4091483938
paypal-usd,PayPal USD,0.999997,4068455651
sui,Sui,0.96995,3788272423
zcash,Zcash,225.0,3731264517
shiba-inu,Shiba Inu,5.72e-06,3371018660
the-open-network,Toncoin,1.34,3275601413
crypto-com-chain,Cronos,0.076653,3151695929
tether-gold,Tether Gold,5136.1,2902173053
world-liberty-financial,World Liberty Financial,0.10182,2817009605
pax-gold,PAX Gold,5177.94,2586311055
polkadot,Polkadot,1.52,2536236555
memecore,MemeCore,1.43,2511227383
uniswap,Uniswap,3.93,2490410741
mantle,Mantle,0.694865,2278921692
pi-network,Pi Network,0.219067,2114814770
okb,OKB,97.18,2042336173
hashnote-usyc,Circle USYC,1.12,2034621548
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,1.0,2007393832
bittensor,Bittensor,200.5,1930265233
sky,Sky,0.077985,1800211144
falcon-finance,Falcon USD,0.997432,1736618509
aster-2,Aster,0.706361,1734832907
global-dollar,Global Dollar,1.0,1702639593
aave,Aave,111.25,1689479799
